,timestamp,GPU 0
2188,1761700848.791133,189.917
2189,1761700863.791492,188.169
2190,1761700878.790781,788.727
2191,1761700893.7912831,800.219
2192,1761700908.7908652,804.015
2193,1761700923.790592,795.311
2194,1761700938.7904909,808.067
2195,1761700953.790609,801.908
2196,1761700968.7914896,786.274
2197,1761700983.7909634,809.953
2198,1761700998.7912223,809.186
2199,1761701013.791249,806.25
2200,1761701028.7909613,794.399
2201,1761701043.7910707,191.69
2202,1761701058.7909102,189.107
2203,1761701073.791083,799.572
2204,1761701088.7911432,802.192
2205,1761701103.7909155,809.917
2206,1761701118.7907639,811.753
2207,1761701133.791501,192.245
2208,1761701148.7917435,709.906
2209,1761701163.7916548,808.001
2210,1761701178.7905972,789.676
2211,1761701193.7909064,809.661
2212,1761701208.7905898,802.835
2213,1761701223.79167,804.556
2214,1761701238.7907665,807.893
2215,1761701253.7907095,800.182
2216,1761701268.7910378,813.002
2217,1761701283.7909696,793.988
2218,1761701298.7918115,806.509
2219,1761701313.790609,761.004
2220,1761701328.7911978,193.373
2221,1761701343.7912233,191.332
2222,1761701358.7904747,803.236
2223,1761701373.7904422,804.516
2224,1761701388.7917142,805.685
2225,1761701403.7913542,194.954
2226,1761701418.7917285,191.471
2227,1761701433.7910368,793.369
2228,1761701448.7912097,798.682
2229,1761701463.791014,801.282
2230,1761701478.79048,806.446
2231,1761701493.7910607,803.862
2232,1761701508.791151,798.109
2233,1761701523.7907324,807.811
2234,1761701538.7913547,808.039
2235,1761701553.790941,812.463
2236,1761701568.7907226,800.454
2237,1761701583.7906897,809.768
2238,1761701598.7911088,808.477
2239,1761701613.7908041,189.91
2240,1761701628.7915542,806.329
2241,1761701643.7911844,808.944
2242,1761701658.7907243,807.637
2243,1761701673.790388,815.339
2244,1761701688.7906497,190.493
2245,1761701703.7909522,188.512
2246,1761701718.7912204,799.337
2247,1761701733.79131,796.152
2248,1761701748.790868,804.071
2249,1761701763.7906384,800.155
2250,1761701778.7909975,803.304
2251,1761701793.7910702,790.071
2252,1761701808.7905505,814.771
2253,1761701823.7911592,806.882
2254,1761701838.791335,790.314
2255,1761701853.7911863,811.618
2256,1761701868.7914877,800.529
2257,1761701883.791076,192.196
2258,1761701898.7908776,189.154
2259,1761701913.7911487,797.007
2260,1761701928.791308,820.936
2261,1761701943.790789,809.183
2262,1761701958.7912745,805.811
2263,1761701973.7910466,189.778
2264,1761701988.7911777,695.75
2265,1761702003.7914076,755.046
2266,1761702018.7912164,737.313
2267,1761702033.7916152,748.816
2268,1761702048.7907972,768.197
2269,1761702063.790806,734.947
2270,1761702078.7905354,757.364
2271,1761702093.7910266,760.262
2272,1761702108.791267,759.991
2273,1761702123.7913635,728.498
2274,1761702138.7907085,766.738
2275,1761702153.7906396,783.729
2276,1761702168.7910337,727.823
2277,1761702183.7915146,760.279
2278,1761702198.7912827,766.763
2279,1761702213.7904112,762.626
2280,1761702228.79147,743.445
2281,1761702243.790472,761.425
2282,1761702258.7909174,766.493
2283,1761702273.7911668,736.53
2284,1761702288.7910216,764.201
2285,1761702303.791095,782.494
2286,1761702318.7904744,757.246
2287,1761702333.7917688,732.903
2288,1761702348.7911646,756.591
2289,1761702363.7912824,775.504
2290,1761702378.7914767,737.901
2291,1761702393.7904124,749.763
2292,1761702408.7913876,757.551
2293,1761702423.79083,764.848
2294,1761702438.791403,731.426
2295,1761702453.7908838,759.824
2296,1761702468.7913332,780.862
2297,1761702483.7908874,739.232
2298,1761702498.7909703,763.759
2299,1761702513.7909467,761.473
2300,1761702528.7906945,767.164
2301,1761702543.7905989,738.372
2302,1761702558.791589,760.842
2303,1761702573.791374,774.056
2304,1761702588.7916777,735.667
2305,1761702603.791348,190.093
2306,1761702618.7906969,294.843
2307,1761702633.7905605,806.508
