,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
11106,1720934286.205542,638.82,641.26,645.41,640.3,644.78,662.62,643.26,643.15
11107,1720934346.208745,627.17,632.82,643.01,635.25,635.23,654.25,637.16,639.13
11108,1720934406.22573,631.24,643.09,641.88,639.13,639.62,654.19,641.28,636.85
11109,1720934466.541924,636.54,643.21,638.0,639.32,644.38,656.31,648.79,637.15
11110,1720934526.590417,630.15,642.33,636.69,628.5,643.91,656.88,643.1,637.65
11111,1720934557.089064,641.2,649.61,645.07,641.84,644.85,660.53,642.33,635.48
11112,1720934617.112697,642.1,649.58,648.76,637.8,643.73,659.17,640.95,643.49
11113,1720934677.257025,639.74,645.92,642.49,635.2,644.36,660.7,647.88,644.75
11114,1720934737.270414,630.35,632.41,640.23,638.25,638.04,651.02,638.25,635.5
11115,1720934797.278651,633.25,636.1,644.96,638.25,643.78,655.2,642.62,637.56
11116,1720934857.286598,631.72,642.64,641.14,637.08,643.09,654.08,637.24,645.33
11117,1720934917.782507,639.76,634.83,643.95,638.03,642.11,655.89,643.93,637.97
11118,1720934947.787162,640.08,648.33,645.88,643.4,649.5,663.54,649.93,643.01
11119,1720935007.875021,635.01,639.4,641.0,632.84,643.26,660.48,642.68,637.79
11120,1720935067.924129,640.24,643.87,642.82,637.71,647.76,663.42,645.52,641.83
11121,1720935127.929329,637.92,641.66,644.39,637.0,642.94,659.49,640.17,643.97
11122,1720935187.951879,632.93,633.97,645.29,636.25,643.33,655.22,634.38,638.16
11123,1720935248.154434,635.12,633.66,644.79,630.01,640.3,655.93,640.46,636.73
11124,1720935308.164207,633.05,642.67,645.48,641.7,642.76,660.9,640.39,639.51
11125,1720935368.171142,633.5,631.8,639.87,640.89,639.07,656.79,641.59,640.53
11126,1720935398.209821,637.77,639.25,642.63,638.51,645.71,661.77,644.12,639.72
11127,1720935458.225295,635.68,632.39,642.78,628.01,641.09,656.89,640.36,633.32
11128,1720935518.653263,641.65,642.09,649.71,640.29,649.93,664.68,650.03,642.9
11129,1720935578.661478,636.4,642.59,650.06,642.14,649.53,667.23,646.56,644.34
11130,1720935638.75873,640.06,637.91,644.06,634.15,641.37,657.11,643.3,641.96
11131,1720935698.856976,631.26,638.59,642.1,638.78,641.19,655.34,640.72,644.33
11132,1720935758.860748,634.77,639.01,639.12,639.24,641.58,655.68,638.51,638.9
11133,1720935788.882422,642.55,637.43,640.14,635.32,643.7,654.14,639.53,635.95
11134,1720935848.896067,628.54,642.35,628.81,622.38,638.46,656.24,636.67,631.54
11135,1720935908.991963,635.65,635.12,645.95,636.61,636.47,651.18,639.33,630.05
11136,1720935969.007472,632.74,628.46,638.08,635.07,634.55,651.78,637.06,631.56
11137,1720936029.553541,632.08,628.18,633.66,628.62,641.94,653.8,641.68,637.29
11138,1720936089.861684,642.67,639.94,647.93,645.64,647.39,658.72,647.88,639.51
11139,1720936149.91786,632.91,630.2,639.59,626.11,638.76,654.59,644.16,636.86
11140,1720936179.919823,645.65,635.66,647.34,640.09,646.12,660.72,652.71,635.2
11141,1720936240.23883,636.69,639.33,643.24,630.67,642.37,657.57,640.3,636.57
11142,1720936300.245914,641.22,642.53,648.28,639.35,647.21,659.47,647.31,639.25
11143,1720936360.259165,632.51,638.45,643.01,635.1,642.06,657.94,640.06,635.63
11144,1720936420.362401,635.37,635.41,641.02,636.29,645.44,658.45,641.27,633.89
11145,1720936480.365764,635.03,637.72,641.69,630.99,642.45,659.16,638.97,643.19
11146,1720936540.853267,637.5,644.29,643.78,642.25,644.41,661.48,644.25,643.02
11147,1720936570.866826,648.52,647.4,650.78,641.93,651.34,665.33,651.87,644.15
11148,1720936630.898475,628.19,632.58,642.0,635.63,637.73,652.45,639.39,639.01
11149,1720936690.908986,639.45,642.29,644.99,641.6,647.74,662.27,646.15,644.73
11150,1720936750.921214,633.86,632.53,644.7,640.16,640.04,659.6,649.22,637.54
11151,1720936810.933629,642.8,644.09,644.43,635.77,645.22,659.52,649.02,644.89
11152,1720936870.93959,643.39,642.9,636.51,633.68,642.42,656.89,642.06,635.76
11153,1720936930.946127,638.64,641.9,639.87,629.69,640.46,656.08,636.98,642.22
11154,1720936960.947875,634.96,635.38,646.81,635.67,644.16,660.28,647.96,642.11
11155,1720937021.478914,641.83,637.08,640.98,634.12,645.8,663.22,643.1,641.29
11156,1720937081.484565,636.61,637.99,638.55,634.87,643.98,660.25,640.01,634.13
11157,1720937141.809313,639.02,637.27,648.43,644.04,644.35,654.22,646.94,638.59
11158,1720937201.850952,634.6,632.8,640.68,625.36,641.41,658.09,640.25,635.38
11159,1720937262.283939,640.17,640.21,648.54,646.11,646.06,661.3,645.28,641.36
11160,1720937322.290253,642.93,642.83,647.37,636.4,648.51,661.56,647.82,639.33
11161,1720937382.296751,633.17,631.07,645.05,639.29,640.46,656.2,643.46,636.01
11162,1720937412.298497,544.11,538.78,547.83,539.12,550.22,564.16,544.56,540.98
11163,1720937442.300263,121.53,122.47,121.7,117.69,119.19,131.32,119.53,118.58
11164,1720937472.301958,174.67,178.42,174.98,173.3,176.35,187.76,177.27,175.28
11165,1720937532.327695,284.92,297.02,288.2,290.88,293.21,300.44,286.02,290.87
11166,1720937592.34235,638.2,638.05,634.27,623.56,648.1,658.45,644.75,633.0
11167,1720937652.386939,628.91,632.21,633.8,629.6,640.63,651.79,645.58,632.34
11168,1720937682.982915,635.57,641.53,636.28,629.3,644.87,658.71,645.17,646.63
11169,1720937743.00161,640.03,643.77,642.33,633.63,642.99,657.09,645.12,639.59
11170,1720937803.009993,639.37,643.42,643.82,638.35,646.26,663.29,647.76,639.72
11171,1720937863.038351,633.24,639.19,638.85,637.54,645.08,659.69,648.54,646.53
11172,1720937923.070322,640.1,641.74,636.08,626.73,639.59,655.24,639.8,632.54
11173,1720937983.174422,632.4,635.4,630.0,634.6,643.56,657.9,648.07,637.7
11174,1720938043.272346,634.25,635.71,644.96,635.18,645.89,657.36,647.36,640.35
11175,1720938103.278657,639.69,632.78,641.62,638.27,649.35,656.02,650.64,642.12
11176,1720938133.280412,636.09,641.37,640.34,633.17,639.43,654.21,643.68,634.59
11177,1720938193.321638,635.3,643.29,640.83,635.48,647.18,660.43,645.92,638.27
11178,1720938253.323694,627.19,631.34,634.26,627.61,638.7,652.7,644.26,638.38
11179,1720938313.373666,635.13,631.52,636.23,631.82,641.47,658.1,648.64,632.84
11180,1720938373.765424,635.92,638.85,638.87,634.63,645.01,657.29,645.14,640.43
11181,1720938433.772096,630.78,635.74,635.5,631.08,640.66,650.72,636.33,631.44
11182,1720938463.847815,630.2,633.77,641.11,635.48,637.71,655.23,643.4,632.93
11183,1720938524.076182,636.85,638.41,640.02,633.17,646.95,659.72,647.17,640.35
11184,1720938584.086377,632.65,629.21,636.84,625.19,636.46,649.07,635.63,634.73
11185,1720938644.147947,634.75,635.31,639.84,636.14,642.52,653.95,646.92,635.84
11186,1720938704.163168,630.47,631.25,641.04,636.91,643.61,656.63,648.41,634.05
11187,1720938764.199172,621.39,634.46,631.16,629.56,641.12,652.41,637.0,632.26
11188,1720938824.217529,637.24,633.44,644.17,639.29,643.77,655.71,645.13,635.12
11189,1720938854.219282,632.42,640.96,635.38,630.9,639.85,651.94,642.73,630.22
11190,1720938914.581436,639.63,641.49,637.45,631.47,643.37,655.72,647.2,637.81
11191,1720938974.77229,635.86,638.32,645.14,634.35,645.31,657.74,650.97,640.14
11192,1720939034.791914,640.74,637.37,646.55,636.18,648.95,665.19,648.71,637.02
11193,1720939095.345393,630.63,636.46,641.62,632.64,640.98,650.75,643.9,629.39
11194,1720939155.814914,637.85,640.75,641.09,638.72,642.99,659.24,646.49,636.63
11195,1720939185.821779,638.92,637.64,640.08,633.87,646.61,663.1,649.03,640.62
11196,1720939245.831121,633.67,630.54,641.52,638.27,641.42,656.44,645.02,634.3
11197,1720939305.838658,637.56,643.22,643.66,638.1,646.04,659.78,640.71,638.29
11198,1720939366.049061,637.13,633.09,646.77,637.45,643.83,656.68,643.1,637.9
11199,1720939426.057313,635.57,643.64,639.38,631.99,646.01,657.49,640.98,642.91
11200,1720939486.112312,641.88,636.7,650.06,641.24,650.16,666.36,653.66,645.61
11201,1720939546.120338,637.63,638.0,645.44,638.28,645.46,660.49,641.56,639.92
11202,1720939576.129544,632.48,634.78,633.01,630.46,638.71,656.91,635.78,638.1
11203,1720939636.139166,634.91,641.23,645.26,640.95,649.09,659.28,642.62,640.87
