,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
17719,1719487160.444846,593.64,592.06,588.89,588.07,583.12,581.14,583.1,587.24
17720,1719487220.447551,593.63,584.13,574.58,592.16,582.19,570.15,570.77,593.6
17721,1719487250.449012,595.19,587.94,594.87,585.89,597.7,587.21,594.09,588.54
17722,1719487280.450454,594.24,572.05,588.42,579.21,588.17,580.24,580.74,580.93
17723,1719487310.451853,596.09,590.18,591.74,586.08,598.49,587.53,591.78,595.51
17724,1719487340.453272,577.01,589.07,581.8,564.55,563.67,587.22,577.62,569.64
17725,1719487370.454706,593.72,586.13,586.04,585.67,592.08,571.49,577.68,595.31
17726,1719487400.45616,578.23,582.86,584.13,577.97,582.06,573.43,577.27,567.21
17727,1719487430.457618,588.43,610.65,594.3,582.76,590.57,604.24,587.11,580.21
17728,1719487460.459064,600.18,598.57,604.39,582.02,589.94,599.75,597.25,587.98
17729,1719487490.460577,586.17,579.26,577.75,585.69,581.53,571.7,571.67,582.15
17730,1719487520.462111,607.49,606.76,609.59,597.5,598.85,600.83,598.92,596.55
17731,1719487550.463603,576.65,595.09,591.82,566.27,570.55,588.54,592.42,569.0
17732,1719487580.465143,572.97,551.28,560.71,558.17,567.8,558.05,563.59,558.16
17733,1719487610.466788,117.89,128.6,122.01,119.06,118.28,117.55,120.83,117.85
17734,1719487640.468302,150.85,156.9,153.54,150.81,149.68,148.09,150.78,148.69
17735,1719487670.469787,230.66,232.15,226.35,227.48,227.83,217.6,229.08,222.76
17736,1719487700.471282,412.12,407.46,402.29,407.67,409.87,401.88,406.13,411.79
17737,1719487730.472748,593.85,581.27,586.8,579.15,576.02,581.53,585.03,578.39
17738,1719487760.474331,590.05,571.51,574.9,582.45,578.79,565.13,573.26,577.18
17739,1719487790.475775,594.81,592.23,601.96,589.95,590.58,588.23,592.3,590.26
17740,1719487820.477236,581.94,599.17,577.39,578.79,567.39,578.65,568.88,575.54
17741,1719487850.483753,594.76,592.15,589.26,595.24,587.55,585.18,580.43,591.31
17742,1719487880.48519,592.37,590.48,588.48,591.87,584.15,582.45,592.98,589.48
17743,1719487910.486679,587.35,573.55,578.52,592.35,582.44,571.8,581.94,583.69
17744,1719487940.490954,566.22,571.19,570.5,572.49,573.39,572.2,570.82,577.05
17745,1719487970.497485,607.58,584.83,588.34,600.86,607.34,585.44,591.42,602.04
17746,1719488030.500345,594.7,583.87,576.43,584.82,591.8,573.75,575.75,595.07
17747,1719488060.501786,593.32,581.83,583.56,596.01,590.36,582.64,585.28,588.99
17748,1719488090.50328,597.48,589.63,583.46,588.66,578.43,574.72,577.88,588.39
