,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
2162,1721088783.089941,167.68,161.44,162.23,171.38,173.22,164.33,171.98,166.85
2163,1721088813.091731,466.22,450.22,453.96,449.32,461.38,461.67,454.54,454.92
2164,1721088843.093486,533.05,525.96,519.06,521.68,529.42,524.9,528.6,529.03
2165,1721088873.095263,528.87,521.59,529.6,523.44,540.85,528.76,524.38,518.61
2166,1721088903.097093,532.11,528.74,520.81,529.88,529.13,533.98,534.58,529.52
2167,1721088933.102806,528.1,525.59,522.0,519.22,531.12,534.47,527.5,523.96
2168,1721088963.104594,536.29,535.09,532.78,531.66,540.08,538.38,541.5,535.42
2169,1721088993.106323,540.19,540.2,527.44,527.12,537.5,542.6,531.11,529.8
2170,1721089023.108097,535.23,530.51,525.09,522.86,536.31,534.47,529.58,536.44
2171,1721089053.109854,533.69,536.64,527.71,524.75,534.13,539.3,527.58,530.8
2172,1721089083.111577,551.97,538.49,539.32,534.02,543.96,543.57,551.25,543.12
2173,1721089113.11335,546.92,545.79,541.02,533.72,545.78,550.4,544.76,537.32
2174,1721089143.115196,546.09,538.24,536.63,539.63,543.35,545.12,544.88,542.23
2175,1721089173.116939,542.75,537.56,546.12,534.52,551.66,548.37,546.1,537.06
2176,1721089203.118738,541.99,539.07,543.16,538.01,548.33,545.89,542.8,539.11
2177,1721089233.120503,546.5,541.9,540.23,534.93,546.2,545.32,543.64,542.39
2178,1721089263.122287,534.95,532.09,525.72,520.55,532.22,535.92,531.55,530.49
2179,1721089293.124058,530.58,532.8,528.38,525.6,533.73,537.12,528.97,530.85
2180,1721089323.126781,528.06,529.97,529.41,523.04,535.77,536.06,525.85,530.32
2181,1721089353.128554,538.49,528.98,520.93,519.57,527.02,533.53,533.23,525.58
2182,1721089383.130367,531.42,534.18,532.11,528.83,535.6,539.2,530.91,527.63
2183,1721089413.132338,530.96,531.87,529.06,521.71,533.78,532.88,529.68,526.66
2184,1721089473.135574,533.29,529.3,527.71,526.59,537.68,535.72,532.59,527.3
2185,1721089503.137375,547.18,542.88,538.29,534.38,543.77,547.01,542.34,544.67
2186,1721089533.139132,547.68,539.04,539.26,534.28,545.3,545.07,540.72,545.52
2187,1721089563.140909,540.06,536.45,546.22,542.71,553.15,542.2,547.28,543.58
2188,1721089593.142718,547.15,544.27,542.56,539.5,547.55,548.85,545.18,539.23
2189,1721089623.144524,549.41,541.37,542.97,537.34,550.13,541.95,544.3,541.29
2190,1721089653.146287,544.12,541.54,542.65,531.14,549.83,546.53,541.0,538.3
2191,1721089683.148091,541.31,540.11,534.08,534.62,543.04,542.67,539.69,539.21
2192,1721089713.149825,540.0,528.57,527.59,524.54,530.61,536.43,538.37,536.71
2193,1721089743.151553,534.6,536.38,531.24,523.96,537.45,540.7,531.3,526.35
2194,1721089773.153294,546.11,531.83,532.57,532.66,540.14,535.02,542.62,537.05
2195,1721089803.155056,532.11,525.25,520.04,521.26,527.76,530.84,529.34,527.18
2196,1721089833.156849,534.63,529.27,530.13,520.75,536.55,537.01,527.56,529.23
2197,1721089863.158663,534.56,529.42,525.19,523.04,532.74,534.56,534.61,531.09
2198,1721089893.160531,532.23,526.73,521.18,524.41,532.9,529.89,535.87,528.44
2199,1721089923.162331,539.57,533.22,535.57,530.27,539.18,538.25,536.66,535.86
2200,1721089953.164113,546.08,538.02,531.61,536.97,539.95,549.02,543.31,538.23
2201,1721089983.165896,542.4,540.67,539.08,535.76,544.65,550.29,546.61,539.92
2202,1721090013.167664,544.39,541.97,538.02,541.69,542.42,547.42,543.19,540.51
2203,1721090043.169409,547.66,541.77,534.97,538.67,541.03,543.97,546.11,541.57
2204,1721090073.17136,540.37,541.96,539.77,537.0,549.62,547.41,541.15,539.68
