run,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755142239.027762,498.69,504.954,535.005,521.783,549.444,505.901,521.172,519.232
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755142374.027375,463.854,474.574,505.629,506.558,534.463,508.017,510.674,492.646
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755142704.027967,342.04,324.288,352.67,334.671,366.527,365.694,380.958,362.913
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755142884.0277545,502.117,483.855,492.441,492.804,515.481,470.352,494.941,502.096
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755143319.0280833,428.879,419.683,449.679,432.85,492.782,483.064,507.571,478.08
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755143469.028333,487.242,512.092,485.548,500.431,550.064,557.462,584.834,516.457
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755143484.027586,476.596,501.268,525.612,500.629,500.766,502.406,535.186,505.554
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755143559.028113,519.088,482.489,495.274,489.542,522.421,495.089,500.886,484.514
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755143649.028169,465.352,484.303,510.157,456.118,514.126,509.092,547.054,526.834
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755143709.0283072,486.407,499.186,536.501,543.944,477.078,491.755,534.849,536.051
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755144039.027719,483.58,503.595,541.267,545.45,485.093,495.578,539.138,541.887
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755144249.0274405,502.403,495.168,510.013,491.409,527.245,511.94,508.419,486.763
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755144954.0279386,466.475,491.264,508.115,508.953,551.765,550.99,521.534,475.229
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755145119.0284665,495.3,503.694,510.061,528.102,567.662,532.59,510.993,532.794
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755145224.02809,472.463,501.073,539.91,552.815,597.456,569.345,487.697,515.982
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755145599.0282784,524.568,516.681,547.153,519.645,570.039,487.754,542.588,522.747
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755145974.0281565,493.691,511.38,533.553,529.439,490.906,491.533,525.742,528.019
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755146109.0280461,520.609,520.231,525.164,520.744,547.012,530.569,534.921,514.197
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755146349.0284567,469.859,451.68,498.706,508.947,550.976,544.339,579.859,469.701
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755146364.0280447,469.299,471.006,475.881,465.347,488.121,464.228,485.792,451.442
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755146979.0282593,475.004,507.031,541.369,534.658,586.036,464.068,508.546,513.469
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755147084.0279622,500.059,493.703,506.26,523.515,534.949,522.401,548.962,552.606
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755147144.028312,460.528,466.817,469.308,488.097,526.815,517.788,554.44,477.514
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755147219.0284088,455.554,480.147,492.08,495.575,543.267,533.533,484.745,473.101
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755147489.0275538,470.29,487.774,522.966,537.125,566.399,543.033,481.824,497.644
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755147534.0283136,288.163,301.998,297.709,295.57,332.161,306.601,289.204,318.176
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755147669.0283031,466.565,490.851,521.326,516.002,513.358,460.077,505.801,495.171
