,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
68,1763931055.4673233,121.973,115.84,117.598,114.614,122.406,119.955,117.912,117.86
69,1763940175.46669,122.133,115.976,117.812,114.871,122.659,120.132,118.146,118.064
70,1763944205.4666748,121.989,115.861,117.671,114.817,122.483,119.977,117.938,117.95
71,1763945675.4671288,121.583,115.677,117.218,114.358,122.093,119.595,117.557,117.577
72,1763951170.8831472,117.001,118.554,116.881,120.867,118.02,121.686,120.781,124.167
73,1763951700.8834991,115.707,116.936,114.115,120.195,115.373,118.205,117.703,120.549
74,1763955400.8849514,656.968,622.011,594.054,548.598,665.452,681.467,684.059,574.725
75,1763956240.8827531,117.508,117.183,115.692,120.307,117.231,121.853,118.48,123.259
76,1763963140.8837483,142.133,125.342,121.929,125.022,121.439,128.43,130.216,141.544
77,1763968680.8833678,116.666,117.531,116.334,119.758,116.87,122.15,120.095,122.271
78,1763971600.8825247,116.563,117.101,114.487,120.301,116.619,120.519,119.592,122.591
79,1763971770.882497,116.49,116.587,114.38,120.152,116.538,120.195,119.988,122.376
80,1763974040.8824658,116.707,118.042,114.674,120.473,116.821,120.689,120.576,122.303
81,1763978000.8829002,116.314,116.478,115.309,119.842,116.694,120.921,120.437,123.403
82,1763980030.8828797,116.27,117.167,115.304,119.162,116.21,119.142,119.064,123.275
83,1763980600.8828175,116.433,116.86,114.133,119.258,116.144,119.129,119.784,121.541
84,1763985680.8825011,115.87,116.758,115.382,119.257,116.498,119.347,118.304,120.338
85,1763986690.8825862,115.775,116.516,113.968,120.192,115.992,119.821,118.786,119.281
86,1763987260.882528,531.369,669.965,701.134,645.429,389.417,466.988,521.751,538.355
87,1763991440.882463,116.435,116.878,115.525,119.899,115.562,119.163,118.196,121.958
88,1763996780.882574,116.739,117.482,115.376,119.429,116.952,120.008,119.911,122.424
89,1764000070.8825698,116.824,117.013,115.227,119.787,116.391,119.168,118.904,121.654
90,1764001710.8825362,115.543,116.98,113.74,119.477,115.167,118.306,117.98,121.413
91,1764002580.8827538,116.164,117.487,115.084,120.017,117.132,121.55,120.339,122.628
92,1764007010.8824742,116.405,117.121,115.595,119.25,116.466,119.562,120.481,121.913
93,1764008670.8827336,116.437,117.921,114.374,119.34,116.356,119.87,118.523,120.625
94,1764012850.8825705,116.639,117.636,116.29,119.688,116.592,120.815,119.874,123.25
95,1764016050.8829057,115.448,117.255,113.823,119.964,115.376,118.493,119.755,121.325
96,1764019260.8834937,116.24,117.266,114.05,119.068,116.281,119.195,119.607,123.017
97,1764022430.8824956,115.169,117.286,115.221,120.24,116.606,119.369,119.573,121.824
98,1764023860.8825521,115.875,117.531,115.445,120.008,115.987,119.719,119.31,122.036
99,1764027980.8824973,116.463,116.907,115.752,120.607,116.713,120.126,119.435,121.002
100,1764029150.8824763,116.279,116.475,115.072,119.633,115.436,120.041,118.689,119.456
101,1764029840.8828075,115.802,116.886,114.241,120.532,116.77,119.879,118.906,121.918
102,1764036530.8835092,115.729,116.922,114.196,119.261,116.239,120.208,119.545,121.811
103,1764036830.8831313,115.61,116.289,113.858,118.819,115.153,118.381,116.844,119.209
104,1764042900.882576,117.021,118.166,114.77,120.306,116.618,120.856,119.645,121.925
